true,lower,upper
210.94688863948187,177.23122746942886,207.2594318595096
210.65028646137046,191.70693789467174,221.08522678622964
198.55768741882622,191.24603341264773,219.0970954969997
183.22499712006612,181.33253141277342,210.28039656136343
205.94983729569495,187.42564198074126,216.58748412212833
213.66533077756733,191.76059468434573,219.52977942877357
200.45134332862423,186.76651286658276,215.6659866229784
194.38764538512362,176.33852126479684,205.02654869843553
175.52280857128866,171.3759746947374,200.73222861828262
199.98680824160718,185.39803402919108,214.87760123722316
190.81013565861855,183.6304393310312,212.78946232717186
190.0478530411539,175.7776730565303,206.08378903504473
199.04971655331926,181.4006490531377,211.03987435366193
188.90638002121085,188.63774469037722,217.49479703798997
200.35985694771102,184.98570059849604,214.651267945819
193.77284006150143,178.31877301026515,208.6270754576303
213.74974849019253,190.9463531435383,220.23800671803733
210.9956890776915,192.50728983426418,221.61228803899166
197.56691174975103,181.596857344925,209.79837579759035
199.5086650276317,186.22181774863517,216.5191459192254
185.23972008337847,178.48441020658794,208.02681836551093
199.97908665751365,183.32384289629113,210.1748677974383
205.02773418310878,185.7041938742695,215.04496683255613
205.9632041312095,187.15650995061034,216.7672606972248
208.22097622126086,195.84721373325385,224.40649250312035
203.10551301012933,187.58477197993594,215.77161473869225
201.60068322844967,190.88473696394746,220.1179654858779
208.1234025853072,197.58436920537378,226.3815571744065
183.6885005282571,187.51611776816998,216.51930941736757
204.13667809909526,182.88034376581734,211.103733469874
204.8037803692275,194.62786851980584,222.1982740508649
194.33100586300768,185.64332339118099,214.4284892654363
198.28690183001743,179.01079640286844,208.2382292565968
195.38849734678905,182.14466570255016,209.88747478034873
207.5346699196105,185.31540699871076,216.29707779622765
183.74067728890046,180.99979105066222,210.20290533347293
209.60658919058238,192.70252820416195,222.4024837599138
199.40670615929153,187.7389963657386,216.36753498424386
199.87645117600917,184.03489434781554,213.05099855541718
195.9324053219997,182.29676365609558,210.22220761408445
198.03812306093522,185.15181279300904,213.10050247952503
210.7804467242081,192.2698102550407,220.21874600873662
204.67466470027455,185.1686401143847,215.07866941931462
226.6624920084803,194.64325140047222,223.80799051262417
206.98014170999141,191.23314074897908,220.01791224944694
189.3125822593121,182.47867621934114,212.4072014882485
197.81280187715205,179.08122946150957,206.03526240298407
185.33003138759852,178.95265281483296,207.93234614517064
186.29682263257186,175.99592034486028,205.3168699171136
211.97049426372976,195.1153912708672,224.82530948843743
195.06022093997484,179.7738373232877,208.52536493433465
193.9806007268013,183.17889041677319,212.57739952790536
207.43154808808174,179.29144432404246,209.93449833515987
199.04350171195742,184.0860121985858,212.45787673151943
199.09116770412894,188.21175670927698,217.77676094578334
196.25226924065703,183.24484415751488,212.0749422584339
208.5597919472876,183.8525497000226,212.46534558399503
189.79450059354585,188.06307292343615,216.58928072049656
203.81866540139038,184.97342415627463,214.03241525676967
190.6006727027747,188.55844137248855,217.6881898120332
199.02398503206825,180.29058723394908,209.91461140029807
193.2505438256809,185.9519463197297,215.02165104173645
196.02297360112266,177.90176323145326,208.06818744758138
215.84187079380334,197.02777756879127,224.12703046548413
198.37967511993554,185.11728909940663,213.23851791656304
195.2608039298144,178.90605097856582,207.02137761585777
209.2724459962374,195.41512304690823,224.58387291165786
202.68098972494047,190.36641140851444,219.39789572882273
196.9422532768442,194.7055072656912,224.58311534597507
210.11003246513707,189.9473828864852,219.41627379111094
181.72345527529401,185.11898810329765,213.50136457811294
202.65511249533273,181.89563262585148,210.37181730783888
210.49731474223847,195.803512311366,225.36468499847166
214.04229113706413,184.37503814800615,213.69410013333885
180.3480026968134,182.36525535129482,210.96210474139494
188.5826011693825,191.55523009007402,219.8637039645192
201.4974600768293,189.59253176402564,219.4127396547543
202.5460219897705,186.53487498696836,217.40170658214944
205.82174618829367,183.9415087102557,211.6243370333677
196.94614955158073,183.68365045238144,213.3230992071312
194.02773694405036,181.6878522655152,211.69943378290805
187.6347633764107,180.1076783211848,210.1482570892493
195.23992118824816,184.95674240322782,212.9023656405518
207.89754892715783,183.67057692484863,211.17373245679553
196.9921024538716,179.9226357661547,207.8642645055611
190.67662710093737,188.45122285414476,217.26839926230835
197.75624473393026,179.66528731510036,209.42725477913515
191.96363290916358,180.90259772054247,209.56557404055982
217.7839135776788,201.61641180117607,231.88656921947393
206.45767907495832,186.98028412113678,216.52362944629414
202.656193131057,186.3206167861911,213.42568010900354
210.339525228549,194.2680316253239,222.98636251874402
201.21680916154344,183.50808610812086,211.06498811655075
189.91188928928537,182.16068030371096,212.60690279442204
212.12399956181673,190.96189597988325,217.9093045564972
192.02424920782906,176.0786544607186,206.04414391728926
185.0744919936183,180.31873214298406,209.86438757425742
197.39551300536885,193.15603526372155,222.27560672085428
198.76842632668135,178.50732800328606,207.87089036802843
201.14428315719587,187.58543606399545,218.07971474145575
203.63124329854563,192.6897139552845,220.62241421185166
197.74881481938712,173.99615816195063,201.55035753416163
203.94842634636058,191.70462662363104,219.9532878767775
204.04345596290582,192.0726229087201,220.49891366166477
217.60122559843057,193.51491198097665,221.4949332761258
190.40931155596243,188.36380785903245,216.52183147690434
204.96684526998004,185.07102737406962,212.97580724449426
204.22939957114227,181.86670005555814,210.51844936161348
201.9096429456986,190.14347193083154,219.551583207996
190.28184846303031,182.8268191992091,212.52275553176597
199.48988453395998,181.9962842414098,211.48887753550005
197.67302540931723,184.08517962919737,212.5688846818716
203.42751251273324,187.02392424347025,216.87231946545742
193.35212855551418,180.44962313654472,208.9056429053969
199.97315908496375,181.13447306909578,208.2002262933927
206.3205999442444,192.9758483148419,222.73614195245577
206.91703502770102,185.52896879214188,214.4137713809764
196.6921462376135,179.9400602237735,208.00953804719688
209.80937171328165,193.35828166786965,222.548529028404
193.0830854221756,180.12228631658468,208.6842668176838
210.05980745145166,190.72879610405775,220.7957854510137
209.027207049779,184.6147333642712,213.36075488939858
198.29338223613212,189.8987290857477,218.94848506611584
209.1366079253402,194.61742090692778,223.7153251378726
200.17649065315035,183.7046588142455,211.46842412088353
203.46114481582495,181.1470372632458,210.14327302752412
210.53712187875595,192.95265389720274,222.63591337773946
194.12113334476382,184.96927512955722,212.57959567063293
193.85396484137235,184.87234522512327,214.67349231057165
199.93474532721274,188.69097836980487,218.03013934542696
197.99282899276983,186.77815018007664,216.25616325216188
199.29647094029977,180.13449145709598,207.63397523214633
186.14401724090115,175.64142542106197,203.69373677175093
200.22478374925606,183.6653252649213,211.69648402383558
216.8842499322835,192.77648235051845,222.72634882736259
187.4352547776052,183.58914549314386,214.13686553448304
196.30127796997925,180.54009462628224,211.07905781062297
224.22543153014175,194.13110865134018,222.00020254206416
216.6011549508873,199.7969302607745,227.59297883983558
203.14347975553076,192.61521148760457,221.0225605392932
195.5432046573522,186.4057345295752,215.5204534771461
198.644334394367,187.7407195752154,217.22479753325848
203.3622479233836,190.6317455734843,220.50959607498683
210.2114385643242,190.45431557689844,221.8326622931998
199.26496665749372,191.59639742321858,220.5566467390516
192.9776559477632,179.8110007519889,209.46036282800196
219.12740162444715,192.8487542085062,222.2820458652661
207.73270226911222,190.46025485115337,220.73447114223265
201.76556967108237,186.82359288782538,215.6998462162765
197.1741957287882,186.53407873753952,215.8072522768588
204.18725756530876,184.22462488933107,213.82530637981108
190.17263090992708,180.41294379548177,210.52497674036746
205.55378624562127,179.56857152103927,210.54091835269762
205.7943907544948,187.95930748660405,216.01088870498108
213.03838704052671,188.92735530193622,217.50570955394036
191.45024296982018,180.2683737600904,210.65466777951445
203.37754641707238,180.96341360781412,209.31728555647993
194.07669554294495,182.45109139190976,211.32936734509875
204.85363800758276,192.38988420353155,220.54383974913029
201.32934112534682,185.22014881198322,214.216695312098
198.2256069701455,192.20130195899742,221.96567902110104
175.83252908531657,175.9392734270133,204.40201029958462
210.8637832910852,186.91186650787216,216.5326560188248
194.3043427432378,189.61170775458217,216.52671707749937
195.2660241942811,180.61798023646026,210.8319539175341
202.94900713913475,183.96584564568184,211.75596297387366
201.22296915746517,186.89896521085612,215.77593509205047
207.2818885157627,183.99450845329375,212.86250191161392
202.23742534508528,189.8339158466328,217.5348158675331
195.94669067999698,189.30090789467602,217.03286330828846
204.089554228249,191.9037845093116,221.25468511419172
218.0638467898198,185.58396521090162,215.71488831739725
201.16071761068287,185.95939405864843,214.3567954276661
194.51493109144704,185.59515979675666,214.53874183264435
206.89012938965033,192.30494429977185,221.45536175747796
196.52768328917688,196.25172919464396,224.74830959380287
198.97797126119377,182.8187397062158,212.41116656098862
189.78601239111728,177.81365532826553,205.90514428930766
197.76668811719588,187.1292881515999,215.41862596974946
225.0540800139976,183.3652502360245,214.03860702496067
190.034193308332,183.9735007772515,212.41045306365834
216.00769197257358,200.9465752450749,230.3262212023775
193.89771191721564,192.27265050671636,220.96922267944007
196.23680748545289,179.09020113723705,208.7559612721177
193.69303916098062,186.94597435165173,215.75485896585894
217.59176857974572,191.97856471864753,220.74989020382444
198.54183015460538,181.58784172937592,210.38799624154524
196.11228134650727,185.89135374431473,214.5137807632898
200.5823205265353,189.51687016417273,219.5115702662129
195.67035106658952,181.01253155147097,208.55827141975928
201.16479004895197,189.29446291706725,217.8696421773456
194.60604184883582,186.68728794900363,214.98140631601476
191.972625451347,187.1917625971784,215.6701801556239
197.31108549702518,175.81813602455045,204.96012373221626
203.41722550104177,185.99027892244368,217.5166204171236
171.21810735977613,170.99920193957598,201.74417080141134
195.37448547740837,176.6763512287958,204.3863464847395
206.7500397243399,184.6136505072739,213.0969730217775
209.12334517768403,186.5433433715579,216.24388854989422
204.5215296889572,185.1401673678678,214.80179043973507
207.7326539351733,191.999902748998,221.49281938746356
199.41541965462952,189.9272468702651,220.20225287188524
194.26073394502907,193.30886350922552,221.66409591757133
203.0979410360307,189.5524784405476,218.22905248642542
205.08350660397969,185.88675193759389,214.92755145306108
192.48621960291874,182.86065294492911,212.7040367405034
217.08406791185723,189.60983626046843,218.73516062611014
221.50347590434444,194.55719034008192,224.3627748812311
205.12325309595673,186.89096251446594,216.0922815177073
202.96507498835672,180.48148581308976,208.95300153499272
213.95961832654694,190.63845664264448,218.85210633283535
214.56333426162766,189.35443066312158,217.37749645962103
211.9011424319046,188.42058378356532,217.19212987502087
187.36698784599037,184.09636782351018,213.57407205114674
216.8661966968213,190.4058958007119,219.8370224649946
196.06879089150976,181.7539883395663,210.15945390284148
214.7329283124702,192.8967275565148,222.0231568623098
206.44985195822514,192.11884373665228,219.9214027603672
199.1684956560101,177.4579142905391,206.58526540626173
174.4587288727795,178.7473019576266,207.4227187817031
210.48786707170083,188.46009049094235,217.837120926815
202.99931099172977,193.59407710806894,222.70578555613983
200.07231533224203,176.05149907226829,206.76202760610357
196.11626464129787,180.47167535760067,210.6214245620954
197.07334520633714,186.0541446302913,214.56885527960534
215.33693103121132,190.7467821080549,219.12947463099755
221.3246477566425,194.8834400348394,222.67949289948734
227.41196705296448,195.01014937456137,224.6451464196355
197.14416598541982,185.07579927688153,214.0473486780496
189.44353142068712,189.9728548457666,218.1406616272332
193.10439611277624,176.9701293928658,205.6972662193273
194.1309805374233,182.35595020550053,210.32008267789686
205.0145523397577,192.44045393417883,218.90634222649373
188.12965864792375,180.63523717357023,209.93494142445437
203.1619936943633,183.15783766217146,212.7245257106927
200.4183723985927,185.36648043703124,214.64565521869235
190.01466767889522,185.44916651904927,213.01125738998846
197.03459631877053,190.0366956573219,219.57657135495742
206.16057658249542,196.2800511045924,224.21764912285738
208.46262906704462,199.85272619777348,229.16026166088378
201.0619986668627,188.20706393988726,216.74192715156832
207.20486199508045,185.32616636416432,214.1668036962429
206.50591784789196,186.89190337169575,215.7533232126026
211.34834011120205,187.66770190890298,216.30984478709038
205.0888968666611,188.65575186692473,217.76242791496549
205.0459196455786,183.2246594566898,212.23111801955847
199.40399578358324,184.6410220259206,214.22174389125993
198.99299082349236,183.88481229069106,211.2164942975975
205.9913995920118,189.21714858612128,219.94342977215345
180.56025578201937,181.53228836929367,209.92096720972836
203.89843927069742,188.3590852497594,217.92331627549768
210.19863919117537,191.90933279715077,220.5543728856391
204.9977349681336,190.9978270885663,219.44939096046585
182.994171363268,182.3833906775874,210.99060495212294
187.52684337486977,181.17677664710746,211.31402157776145
189.8464925708094,174.57718008477542,203.09940108735927
197.64577634949296,186.51300507118194,213.8481969108557
204.93050325400088,188.6630997265,217.71430505184992
195.39111286559984,182.05636162415203,212.59098974504374
201.7131708012329,181.5309434590555,212.2953605255197
214.3456155234205,191.11894622741326,219.47336777974002
193.41054420412124,179.44934318647253,208.76367069353714
191.66199806495285,178.56554254294892,207.36997114089246
201.4661059979261,190.47535334106638,219.85751376901314
190.48891452171827,178.77536649532175,209.12717734386348
209.91891177613863,185.39185136491986,213.87772997124128
187.33547279394188,180.84343658535025,210.5099920965672
213.43980625938158,186.92602736525998,216.002911940924
217.3998592204053,193.8397383357639,223.3475374131272
203.8150751641179,194.33879625396477,223.1971159642109
203.8809987192278,187.61336861463465,215.52124929875507
217.4371693587533,181.77910806653293,210.57610927673622
209.0328931593698,193.45584783351563,223.24851102086657
188.5837261073634,181.8069145868522,211.01212647903478
184.5344252369566,182.12356611386437,211.57120138015958
192.93714436724133,186.2554752696301,215.3509512547691
206.14897887099838,186.28669351625618,215.82566079225109
203.1854066892042,189.3425045221034,217.43613459827796
187.16436131994487,180.4570338522295,208.92131393718984
219.68329246873813,192.0582676375609,220.3223966808861
196.70634388236624,186.03561547999345,214.43735392938314
207.38856653689433,185.94929605999315,214.43424783032134
194.17703536645095,181.7432615457434,209.5433210673104
206.3382694064025,192.97680306013137,220.71309439211947
212.0807418433618,186.79167997436934,214.28000854584334
187.28083535610116,176.76262736499487,206.67719423153116
202.5857398092786,181.93343664442313,212.35468165137763
212.39845424958588,194.71099804738745,224.21190454859646
197.7713032132136,180.16115239285202,210.11738416889884
197.6838358565101,181.5922484537047,212.2192546854923
212.1628998775549,190.38960178893632,219.24760900883294
209.5568709266879,188.60475667395437,216.03443236999152
207.82613955273254,192.48091584919746,219.68628014875225
190.8834915050052,179.9639631729879,209.38396824475714
187.21851008588362,184.5390453794495,211.52398994300464
197.16194275091843,179.65046082499913,208.52775901224442
203.36325552494733,188.66619447186665,219.20467672011952
196.60381183699457,183.7506511328511,213.6767065114788
192.58068978691148,182.07945968517558,210.93895359547005
204.72524375264328,192.91093878372013,222.3527833008698
209.2529740938887,189.66271803379635,218.49460870958546
